CodigoArea;Nombre;Nodos
089B;Montornès del Vallès;758
089M;Alcorcón (distrito 02);759
089S;Sevilla (SCD Number 5-A);760
089V;Gandia (distrito 05);761
08AB;Villamalea y otros municipios;762
08AL;Tabernas y otros municipios;763
08AS;Corvera de Asturias e Illas;764
08AV;Tiñosillos y otros municipios;765
08BA;Zarza, La y otros municipios;766
08BI;Dima y otros municipios;767
08BU;Medina de Pomar y otros municipios;768
08CA;Alfoz de Lloredo y otros municipios;769
08CC;Almoharín y otros municipios;770
08CO;Luque y Carcabuey;771
08CR;Torrenueva y otros municipios;772
08CS;Lucena del Cid y otros municipios;773
08CU;Provencio, El y otros municipios;774
08CZ;Cádiz (distrito 09);775
08CÑ;Boqueixón y Touro;776
08GC;Gáldar;777
08GI;Sant Joan de les Abadesses y otros municipios;778
08GP;Berastegi y otros municipios;779
08GR;Deifontes y otros municipios;780
08GU;Torija y otros municipios;781
08HS;Sallent de Gállego y otros municipios;782
08HU;Jabugo y otros municipios;783
08JA;Mengíbar y Jabalquinto;784
08LE;Chozas de Abajo y otros municipios;785
08LL;Pobla de Segur, La y otros municipios;786
08LO;Baños de Río Tobía y otros municipios;787
08LU;Palas de Rei y Antas de Ulla;788
08MA;Villanueva del Trabuco y Villanueva del Rosario;789
08MU;Alguazas;790
08NA;Beriáin y otros municipios;791
08OU;Maside y otros municipios;792
08PA;Carrión de los Condes y otros municipios;793
08PO;Neves, As y Arbo;794
08SA;Galindo y Perahuy y otros municipios;795
08SG;Navas de Oro y otros municipios;796
08SO;Golmayo y otros municipios;797
08TA;Xerta y otros municipios;798
08TE;Monreal del Campo y otros municipios;799
08TF;Villa de Mazo y Fuencaliente de la Palma;800
08TO;Alameda de la Sagra y otros municipios;801
08VA;Campaspero y otros municipios;802
08VI;Laguardia y otros municipios;803
08ZA;Quinto y otros municipios;804
08ZM;Morales de Toro y otros municipios;805
090A;Orihuela (distrito 04);806
090B;Moià;807
090M;Alcorcón (distrito 03);808
090S;Sevilla (SCD Number 5-B);809
090V;Valencia (SCD Fronteta de Sant Lluís/La Punta/Ciutat de les Arts i de les Ciènces);810
091A;Orihuela (distrito 05);811
091B;Navarcles;812
091M;Alcorcón (distrito 04);813
091S;Sevilla (SCD Number 5-C);814
091V;Valencia (SCD Safranar/Favara);815
092A;Orihuela (distrito 06);816
092B;Navàs;817
092M;Aranjuez (distrito 01);818
092S;Sevilla (SCD Number 5-D);819
092V;Valencia (SCD La Malva-rosa);820
093A;Orihuela (distrito 07);821
093B;Olesa de Montserrat;822
093M;Aranjuez (distrito 02);823
093S;Sevilla (SCD Number 5-E);824
093V;Gandia (distrito 04);825
094A;San Vicente del Raspeig/Sant Vicent del Raspeig (distrito 01);826
094B;Palau-solità i Plegamans;827
094M;Aranjuez (distrito 03);828
094S;Sevilla (SCD Number 6-A);829
094V;Godella;830
095A;San Vicente del Raspeig/Sant Vicent del Raspeig (distrito 02);831
095B;Pallejà;832
095M;Aranjuez (distrito 04);833
095S;Sevilla (SCD Number 6-B);834
095V;Alginet;835
096A;San Vicente del Raspeig/Sant Vicent del Raspeig (distrito 03);836
096B;Papiol, El;837
096M;Arganda del Rey;838
096S;Sevilla (SCD Number 6-C);839
096V;Canals;840
097A;Torrevieja (distrito 01);841
097B;Parets del Vallès;842
097M;Boadilla del Monte;843
097S;Sevilla (SCD Number 7-A);844
097V;Valencia (SCD Poblats de L'Oest);845
098A;Torrevieja (distrito 02);846
098B;Piera;847
098M;Collado Villalba;848
098S;Sevilla (SCD Number 7-B);849
098V;Benetússer;850
099A;Torrevieja (distrito 03);851
099B;Pineda de Mar;852
099M;Coslada (distrito 01);853
099S;Sevilla (SCD Number 7-C);854
099V;Valencia (SCD La Creu del Grau);855
09AB;Casas-Ibáñez y otros municipios;856
09AL;Tíjola y otros municipios;857
09AS;Grado y Regueras, Las;858
09AV;Madrigal de las Altas Torres y otros municipios;859
09BA;Higuera de Vargas y otros municipios;860
09BI;Sondika y Loiu;861
09BU;Oña y otros municipios;862
09CA;Mazcuerras y otros municipios;863
09CC;Valdefuentes y otros municipios;864
09CO;Doña Mencía y Zuheros;865
09CR;Santa Cruz de Mudela y otros municipios;866
09CS;Soneja y otros municipios;867
09CU;San Lorenzo de la Parrilla y otros municipios;868
09CZ;Cádiz (distrito 10);869
09CÑ;Arzúa y Santiso;870
09GC;Haría;871
09GI;Camprodon y otros municipios;872
09GP;Ibarra;873
09GR;Moclín y otros municipios;874
09GU;Brihuega y otros municipios;875
09HS;Benasque y otros municipios;876
09HU;Cortegana;877
09JA;Villanueva de la Reina y otros municipios;878
09LE;Valderrueda y otros municipios;879
09LL;Torà y otros municipios;880
09LO;Entrena y otros municipios;881
09LU;Monterroso y Taboada;882
09MA;Periana y otros municipios;883
09MU;Alhama de Murcia;884
09NA;Larraga y otros municipios;885
09OU;Avión y otros municipios;886
09PO;Pazos de Borbén y otros municipios;887
09SA;Cespedosa de Tormes y otros municipios;888
09SG;Segovia (distritos 01 y 02);889
09SO;Almazán;890
09TA;Benissanet y otros municipios;891
09TE;Utrillas y otros municipios;892
09TF;Tazacorte y Tijarafe;893
09TO;Yuncler y otros municipios;894
09VA;Quintanilla de Onésimo y otros municipios;895
09VI;Amurrio;896
09ZA;Cuarte de Huerva y Cadrete;897
09ZM;Montamarta y otros municipios;898
100A;Alicante (SCD Number 1);899
100B;Polinyà;900
100M;Coslada (distrito 02);901
100S;Sevilla (SCD Number 7-D);902
100V;Valencia (SCD La Petxina);903
101A;Alicante (SCD Number 2-A);904
101B;Premià de Mar;905
101M;Coslada (distritos 03 y 04);906
101S;Sevilla (SCD Number 8-A);907
101V;Torrent (distrito 04);908
102A;Alicante (SCD Number 2-B);909
102B;Ripollet;910
102M;Fuenlabrada (distrito 01);911
102S;Sevilla (SCD Number 8-B);912
102V;Valencia (SCD El Grau/Natzaret);913
103A;Alicante (SCD Number 3-A);914
103B;Roca del Vallès, La;915
103M;Fuenlabrada (distrito 02);916
103S;Sevilla (SCD Number 8-C);917
103V;Carlet;918
104A;Alicante (SCD Number 3-B);919
104B;Pont de Vilomara i Rocafort, El;920
104M;Fuenlabrada (distrito 03);921
104S;Sevilla (SCD Number 8-D);922
104V;Massamagrell;923
105A;Alicante (SCD Number 3-C);924
105B;Roda de Ter;925
105M;Fuenlabrada (distrito 04);926
105S;Sevilla (SCD Number 9-A);927
105V;Sagunto/Sagunt (distrito 03);928
106A;Alicante (SCD Number 4-A);929
106B;Sallent;930
106M;Fuenlabrada (distrito 05);931
106S;Sevilla (SCD Number 9-B);932
106V;Valencia (SCD L'Amistat/La Vega Baixa/La Carrasca);933
107A;Alicante (SCD Number 4-B);934
107B;Santpedor;935
107M;Fuenlabrada (distrito 06);936
107S;Sevilla (SCD Number 9-C);937
107V;Tavernes de la Valldigna;938
108A;Alicante (SCD Number 4-C);939
108B;Sant Adrià de Besòs;940
108M;Fuenlabrada (distrito 07);941
108S;Sevilla (SCD Number 9-D);942
108V;Sagunto/Sagunt (distrito 06);943
109A;Alicante (SCD Number 5-A);944
109B;Sant Andreu de la Barca;945
109M;Fuenlabrada (distrito 08);946
109S;Sevilla (SCD Number 9-E);947
109V;Valencia (SCD Tres Forques/La Fontsanta/La Llum);948
10AB;Fuente-Álamo y otros municipios;949
10AL;Oria y otros municipios;950
10AS;Morcín y otros municipios;951
10AV;San Pedro del Arroyo y otros municipios;952
10BA;Villanueva del Fresno y Zahínos;953
10BI;Urduliz y otros municipios;954
10BU;Belorado y otros municipios;955
10CA;Campoo de Enmedio y Hermandad de Campoo de Suso;956
10CC;Madroñera y otros municipios;957
10CO;Benamejí y otros municipios;958
10CR;Fuencaliente y otros municipios;959
10CS;Artana y otros municipios;960
10CZ;San Fernando (distrito 01);961
10CÑ;Mesía y Frades;962
10GC;Ingenio;963
10GI;Vall d'en Bas, La y otros municipios;964
10GP;Anoeta y otros municipios;965
10GR;Montejícar y otros municipios;966
10GU;Pioz y Pozo de Guadalajara;967
10HS;Castejón de Sos y otros municipios;968
10HU;Santa Olalla del Cala y otros municipios;969
10JA;Vilches y Santa Elena;970
10LE;Cistierna y otros municipios;971
10LL;Artesa de Segre y otros municipios;972
10LO;Autol y Quel;973
10LU;Saviñao, O y Bóveda;974
10MA;Almáchar y otros municipios;975
10MU;Archena;976
10NA;Altsasu/Alsasua y otros municipios;977
10OU;Cartelle y otros municipios;978
10PA;Saldaña y otros municipios;979
10PO;Mondariz y Mondariz-Balneario;980
10SA;Sotoserrano y otros municipios;981
10SG;San Cristóbal de Segovia y otros municipios;982
10SO;Soria;983
10TA;Gandesa y Batea;984
10TE;Cella y otros municipios;985
10TF;Puntagorda y otros municipios;986
10TO;Numancia de la Sagra y Pantoja;987
10VA;Pedrajas de San Esteban y otros municipios;988
10VI;Laudio/Llodio;989
10ZA;Muel y otros municipios;990
10ZM;Villalpando y otros municipios;991
110A;Alicante (SCD Number 5-B);992
110B;Sant Andreu de Llavaneres;993
110M;Fuenlabrada (distrito 09);994
110S;Sevilla (SCD Number 10-A);995
110V;Valencia (SCD Morvedre/Trinitat);996
111A;Alicante (SCD Number 6-A);997
111B;Sant Antoni de Vilamajor;998
111M;Getafe (distrito 01);999
111S;Sevilla (SCD Number 10-B);1000
111V;Eliana, l';1001
112A;Alicante (SCD Number 6-B);1002
112B;Sant Celoni;1003
112M;Getafe (distrito 02);1004
112S;Sevilla (SCD Number 11);1005
112V;Valencia (SCD Tormos/Sant Antoni);1006
113A;Alicante (SCD Number 7-A);1007
113B;Sant Climent de Llobregat;1008
113M;Getafe (distrito 03);1009
113S;Tocina;1010
113V;Silla;1011
114A;Alicante (SCD Number 7-B);1012
114B;Sant Fost de Campsentelles;1013
114M;Getafe (distrito 04);1014
114S;Tomares;1015
114V;Torrent (distrito 01);1016
115A;Alicante (SCD Number 8-A);1017
115B;Sant Feliu de Codines;1018
115M;Leganés (distrito 01);1019
115S;Umbrete;1020
115V;Valencia (SCD El Pla del Remei/Gran Via);1021
116A;Alicante (SCD Number 8-B);1022
116B;Sant Feliu de Llobregat;1023
116M;Leganés (distrito 02);1024
116S;Utrera (distrito 01);1025
116V;Valencia (SCD Mont-Olivet);1026
117B;Sant Fruitós de Bages;1027
117M;Leganés (distrito 03);1028
117S;Utrera (distrito 03);1029
117V;Puçol;1030
118B;Vilassar de Dalt;1031
118M;Leganés (distrito 04);1032
118S;Villanueva del Ariscal;1033
118V;Valencia (SCD En Corts/Na Rovella);1034
119B;Sant Joan Despí;1035
119M;Leganés (distrito 05);1036
119S;Villanueva del Río y Minas;1037
119V;Valencia (SCD La Creu Coberta/Sant Marcel.lí/Camí Real);1038
11AB;Yeste y otros municipios;1039
11AL;Vélez-Blanco y otros municipios;1040
11AS;Teverga y otros municipios;1041
11AV;Sotillo de la Adrada y otros municipios;1042
11BA;Oliva de la Frontera y Valencia del Mombuey;1043
11BI;Plentzia y Barrika;1044
11BU;Valle de Valdebezana y otros municipios;1045
11CA;Valderredible y otros municipios;1046
11CC;Logrosán y otros municipios;1047
11CO;Rambla, La y otros municipios;1048
11CR;Calzada de Calatrava y otros municipios;1049
11CS;Altura y otros municipios;1050
11CU;Valeras, Las y otros municipios;1051
11CZ;San Fernando (distrito 06);1052
11CÑ;Boimorto y otros municipios;1053
11GC;Mogán;1054
11GP;Zizurkil y Aduna;1055
11GR;Alhama de Granada y otros municipios;1056
11GU;Mondéjar y otros municipios;1057
11HS;Graus y otros municipios;1058
11HU;Aracena e Higuera de la Sierra;1059
11JA;Begíjar y otros municipios;1060
11LE;Boñar y otros municipios;1061
11LL;Ponts y otros municipios;1062
11LO;Agoncillo y otros municipios;1063
11LU;Paradela y otros municipios;1064
11MA;Vélez-Málaga (distrito 05) y otros municipios;1065
11MU;Beniel;1066
11NA;Etxarri Aranatz y otros municipios;1067
11OU;Padrenda y otros municipios;1068
11PA;Velilla del Río Carrión y otros municipios;1069
11PO;Soutomaior y Pontevedra (distrito 07);1070
11SA;Béjar y Candelario;1071
11SG;Navalmanzano y otros municipios;1072
11TA;Ascó y otros municipios;1073
11TE;Albarracín y otros municipios;1074
11TF;San Andrés y Sauces y Puntallana;1075
11TO;Esquivias y Borox;1076
11VA;Olmedo y otros municipios;1077
11VI;Salvatierra/Agurain;1078
11ZA;Cariñena y otros municipios;1079
11ZM;Santa Cristina de la Polvorosa y otros municipios;1080
120B;Vilassar de Mar;1081
120M;Leganés (distrito 06);1082
120S;Villaverde del Río;1083
120V;Requena;1084
121B;Sant Just Desvern;1085
121M;Leganés (distrito 07);1086
121S;Viso del Alcor, El;1087
121V;Valencia (SCD Poblats del Sud);1088
122B;Premià de Dalt;1089
122M;Majadahonda (distrito 01);1090
122S;Isla Mayor;1091
122V;Valencia (SCD Safranar/Vara de Quart);1092
123B;Sant Pere de Ribes;1093
123M;Majadahonda (distrito 02);1094
123S;Cuervo de Sevilla, El;1095
123V;Carcaixent;1096
124B;Sant Pol de Mar;1097
124M;Móstoles (distrito 01);1098
124V;Valencia (SCD L'IllaPerduda/Ciutat Jardin);1099
125B;Sant Quirze del Vallès;1100
125M;Móstoles (distrito 02);1101
125V;Picassent;1102
126B;Sant Sadurní d'Anoia;1103
126M;Móstoles (distrito 03);1104
126V;Moncada;1105
127B;Santa Coloma de Cervelló;1106
127M;Móstoles (sección 009 y otras secciones del distrito 04);1107
127V;Cullera;1108
128B;Santa Eulàlia de Ronçana;1109
128M;Parla (sección 004 y otras secciones del distrito 01);1110
128V;Valencia (SCD Malilla);1111
129B;Santa Margarida de Montbui;1112
129M;Pinto (distrito 01);1113
129V;Valencia (SCD Ciutat Fallera);1114
12AB;Riópar y otros municipios;1115
12AL;Macael y otros municipios;1116
12AV;Adrada, La y Piedralaves;1117
12BA;Jerez de los Caballeros y otros municipios;1118
12BI;Bakio y otros municipios;1119
12BU;Villarcayo de Merindad de Castilla la Vieja y otros municipios;1120
12CA;Corvera de Toranzo y otros municipios;1121
12CC;Torrecillas de la Tiesa y otros municipios;1122
12CO;Bujalance y Cañete de las Torres;1123
12CR;Fuente el Fresno y Cortijos, Los;1124
12CS;Viver y otros municipios;1125
12CU;Honrubia y otros municipios;1126
12CZ;San Fernando (distrito 05);1127
12CÑ;Cerceda y Tordoia;1128
12GC;Moya;1129
12GI;Amer y otros municipios;1130
12GP;Getaria y otros municipios;1131
12GR;Moraleda de Zafayona y otros municipios;1132
12GU;Loranca de Tajuña y otros municipios;1133
12HS;Benabarre y otros municipios;1134
12HU;Minas de Riotinto y otros municipios;1135
12JA;Rus y Canena;1136
12LE;Mansilla de las Mulas y otros municipios;1137
12LL;Sant Guim de Freixenet y otros municipios;1138
12LO;Pradejón y otros municipios;1139
12LU;Láncara y otros municipios;1140
12MA;Alcaucín y otros municipios;1141
12MU;Blanca;1142
12NA;Lakuntza y otros municipios;1143
12OU;Maceda y otros municipios;1144
12PA;Herrera de Pisuerga y otros municipios;1145
12PO;Baiona y Oia;1146
12SA;Linares de Riofrío y otros municipios;1147
12SG;Cantimpalos y otros municipios;1148
12TA;Móra la Nova y otros municipios;1149
12TE;Sarrión y otros municipios;1150
12TF;Adeje;1151
12TO;Ocaña y Ciruelos;1152
12VA;Alaejos y otros municipios;1153
12VI;Vitoria-Gasteiz (distrito 01);1154
12ZA;Alfamén y otros municipios;1155
12ZM;San Cristóbal de Entreviñas y otros municipios;1156
130B;Santa Margarida i els Monjos;1157
130M;Pinto (distrito 02);1158
130V;Valencia (SCD Arrancapins);1159
131B;Barberà del Vallès;1160
131M;Pozuelo de Alarcón (distrito 01);1161
131V;Sagunto/Sagunt (distrito 07);1162
132B;Santa Maria de Palautordera;1163
132M;Pozuelo de Alarcón (distrito 02);1164
132V;Valencia (SCD Russafa);1165
133B;Santa Perpètua de Mogoda;1166
133M;Rivas-Vaciamadrid (sección 029 y otras secciones del distrito 01);1167
133V;Bétera;1168
134B;Sant Vicenç dels Horts;1169
134M;Rozas de Madrid, Las (sección 001 y otras secciones del distrito 01);1170
134V;Valencia (SCD Benicalap);1171
135B;Sentmenat;1172
135M;San Sebastián de los Reyes (sección 033 y otras secciones del distrito 01);1173
135V;Pobla de Vallbona, la;1174
136B;Sitges;1175
136M;Torrejón de Ardoz (distrito 01);1176
136V;Alboraya;1177
137B;Súria;1178
137M;Torrejón de Ardoz (distrito 02);1179
137V;Quart de Poblet;1180
138B;Teià;1181
138M;Torrejón de Ardoz (distrito 03);1182
138V;Valencia (SCD Patraix);1183
139B;Tiana;1184
139M;Torrejón de Ardoz (distrito 04);1185
139V;Valencia (SCD Aiora);1186
13AB;Elche de la Sierra y otros municipios;1187
13AL;Arboleas y otros municipios;1188
13AS;Nava y otros municipios;1189
13AV;Navaluenga y otros municipios;1190
13BA;Barcarrota y Salvaleón;1191
13BI;Zamudio y otros municipios;1192
13BU;Sasamón y otros municipios;1193
13CA;Santiurde de Toranzo y otros municipios;1194
13CC;Guadalupe y otros municipios;1195
13CO;Baena y Valenzuela;1196
13CR;Puebla de Don Rodrigo y otros municipios;1197
13CS;Borriol y otros municipios;1198
13CU;Villanueva de la Jara y otros municipios;1199
13CZ;San Fernando (distrito 04);1200
13CÑ;Curtis y Aranga;1201
13GC;Oliva, La;1202
13GI;Santa Coloma de Farners y Brunyola;1203
13GP;Zestoa y Aizarnazabal;1204
13GR;Illora y Valderrubio;1205
13GU;Sacedón y otros municipios;1206
13HS;Tamarite de Litera y otros municipios;1207
13HU;Nerva y Granada de Río-Tinto, La;1208
13JA;Torreperogil y Sabiote;1209
13LE;Sahagún y otros municipios;1210
13LL;Alcarràs y otros municipios;1211
13LO;Rincón de Soto y Aldeanueva de Ebro;1212
13LU;Becerreá y otros municipios;1213
13MA;Sayalonga y otros municipios;1214
13MU;Bullas;1215
13NA;Lekunberri y otros municipios;1216
13OU;Baños de Molgas y otros municipios;1217
13PA;Cervera de Pisuerga y otros municipios;1218
13PO;Bueu;1219
13SA;Alberca, La y otros municipios;1220
13SG;Olombrada y otros municipios;1221
13TA;Castellvell del Camp y Almoster;1222
13TE;Mora de Rubielos y otros municipios;1223
13TF;Arafo;1224
13TO;Mocejón y Magán;1225
13VA;Rueda y otros municipios;1226
13VI;Vitoria-Gasteiz (distrito 02);1227
13ZA;Daroca y otros municipios;1228
13ZM;Santibáñez de Vidriales y otros municipios;1229
140B;Torelló;1230
140M;Valdemoro (distrito 01);1231
140V;Paiporta;1232
141B;Torrelles de Llobregat;1233
141M;Valdemoro (distrito 02);1234
141V;Valencia (SCD Albors/Camí Fondo/Penya-roja);1235
142B;Vacarisses;1236
142M;Madrid (SCD Palacio);1237
142V;Gandia (distrito 02);1238
143B;Vallirana;1239
143M;Madrid (SCD Embajadores-2);1240
143V;Valencia (SCD Torrefiel);1241
144B;Vic;1242
144M;Madrid (SCD Embajadores-1);1243
144V;Valencia (SCD Ciutat Vella);1244
145B;Vilanova del Camí;1245
145M;Madrid (SCD Cortes);1246
145V;Valencia (SCD Orriols/Sant llorenç);1247
146B;Vilafranca del Penedès;1248
146M;Madrid (SCD Justicia);1249
146V;Algemesí;1250
147B;Badia del Vallès (sección 006 y otras secciones del distrito 01);1251
147M;Madrid (SCD Universidad);1252
147V;Sueca;1253
148B;Badalona (distrito 01);1254
148M;Madrid (SCD Sol);1255
148V;Valencia (SCD El Cabanyal-El Canyamelar/Beteró);1256
149B;Badalona (distrito 02);1257
149M;Madrid (SCD Imperial);1258
149V;Catarroja;1259
14AB;Pozohondo y otros municipios;1260
14AL;Cantoria y otros municipios;1261
14AS;Colunga y Caravia;1262
14AV;Casavieja y otros municipios;1263
14BA;Almendral y otros municipios;1264
14BI;Iurreta y Muxika;1265
14BU;Santa María del Campo y otros municipios;1266
14CA;Selaya y otros municipios;1267
14CC;Peraleda de la Mata y otros municipios;1268
14CO;Villaviciosa de Córdoba y otros municipios;1269
14CR;Porzuna y Robledo, El;1270
14CS;Castellón de la Plana/Castelló de la Plana (distritos 01 y 02);1271
14CU;Casasimarro y otros municipios;1272
14CZ;San Fernando (distritos 02 y 03);1273
14CÑ;Paderne y otros municipios;1274
14GC;Pájara;1275
14GI;Hostalric y otros municipios;1276
14GP;Legorreta y otros municipios;1277
14GR;Montefrío y Algarinejo;1278
14GU;Cifuentes y otros municipios;1279
14HS;Binaced y otros municipios;1280
14HU;Paterna del Campo y otros municipios;1281
14JA;Navas de San Juan y Arquillos;1282
14LE;Santas Martas y otros municipios;1283
14LL;Rosselló y otros municipios;1284
14LO;Cervera del Río Alhama y otros municipios;1285
14LU;Castroverde y otros municipios;1286
14MA;Cómpeta y Frigiliana;1287
14MU;Calasparra;1288
14NA;Doneztebe/Santesteban y otros municipios;1289
14OU;Rairiz de Veiga y otros municipios;1290
14PA;Aguilar de Campoo y otros municipios;1291
14PO;Caldas de Reis;1292
14SA;Fuenteguinaldo y otros municipios;1293
14SG;Cantalejo y otros municipios;1294
14TA;Cambrils y Vinyols i els Arcs;1295
14TE;Cantavieja y otros municipios;1296
14TF;Arico;1297
14TO;Polán y otros municipios;1298
14VA;Nava del Rey y otros municipios;1299
14VI;Vitoria-Gasteiz (distrito 03);1300
14ZA;Maluenda y otros municipios;1301
14ZM;Puebla de Sanabria y otros municipios;1302
150B;Badalona (distrito 03);1303
150M;Madrid (SCD Acacias);1304
150V;Valencia (SCD Benimaclet);1305
151B;Badalona (distrito 04);1306
151M;Madrid (SCD Chopera);1307
151V;Xàtiva;1308
152B;Badalona (distrito 05);1309
152M;Madrid (SCD Legazpi);1310
152V;Xirivella;1311
153B;Badalona (distrito 06);1312
153M;Madrid (SCD Atocha-Delicias);1313
153V;Alaquàs;1314
154B;Badalona (distrito 07);1315
154M;Madrid (SCD Palos de Moguer);1316
154V;Valencia (SCD El Pla del Real);1317
155B;Badalona (distrito 08);1318
155M;Madrid (SCD Pacífico);1319
155V;Manises;1320
156B;Badalona (distrito 09);1321
156M;Madrid (SCD Adelfas);1322
156V;Valencia (SCD Nou Moles/Soternes);1323
157B;Barcelona (SCD el Raval sud);1324
157M;Madrid (SCD Estrella);1325
157V;Aldaia;1326
158B;Barcelona (SCD el Raval nord);1327
158M;Madrid (SCD Ibiza);1328
158V;Valencia (SCD La Raiosa/L'Hort de Senabre);1329
159B;Barcelona (SCD el Barri Gòtic);1330
159M;Madrid (SCD Niño Jesús-Jerónimos);1331
159V;Ontinyent;1332
15AB;Alcaraz y otros municipios;1333
15AL;Turre y otros municipios;1334
15AS;Caso y otros municipios;1335
15AV;Arenal, El y otros municipios;1336
15BA;Salvatierra de los Barros y otros municipios;1337
15BI;Berriz y Garai;1338
15BU;Salas de los Infantes y otros municipios;1339
15CA;Castro-Urdiales y Guriezo;1340
15CC;Serradilla y otros municipios;1341
15CO;Posadas y Hornachuelos;1342
15CR;Chillón y otros municipios;1343
15CS;Moncofa y Chilches/Xilxes;1344
15CU;Minglanilla y otros municipios;1345
15CZ;Puerto Real;1346
15CÑ;Monfero y otros municipios;1347
15GC;Puerto del Rosario;1348
15GI;Riells i Viabrea y Breda;1349
15GP;Andoain;1350
15GR;Loja y Zagra;1351
15GU;Molina de Aragón y otros municipios;1352
15HU;Niebla y Villarrasa;1353
15JA;Santisteban del Puerto y Aldeaquemada;1354
15LE;Valderas y otros municipios;1355
15LL;Torrefarrera;1356
15LU;Fonsagrada, A y otros municipios;1357
15MA;Rincón de la Victoria y otros municipios;1358
15MU;Caravaca de la Cruz;1359
15NA;Leitza y otros municipios;1360
15OU;Lobios y otros municipios;1361
15PA;Guardo;1362
15PO;Cambados;1363
15SA;Fuentes de Oñoro y otros municipios;1364
15SG;Boceguillas y otros municipios;1365
15TA;Riudoms y otros municipios;1366
15TE;Alcañiz;1367
15TF;Breña Alta;1368
15TO;Cobisa y Layos;1369
15VA;Medina de Rioseco y otros municipios;1370
15VI;Vitoria-Gasteiz (distrito 04);1371
15ZA;Ariza y otros municipios;1372
15ZM;San Pedro de Ceque y otros municipios;1373
160B;Barcelona (SCD la Barceloneta);1374
160M;Madrid (SCD Recoletos);1375
160V;Burjassot;1376
161B;Barcelona (SCD Sant Pere, Santa Caterina i la Ribera);1377
161M;Madrid (SCD Goya);1378
161V;Valencia (SCD Campanar);1379
162B;Barcelona (SCD el Fort Pienc);1380
162M;Madrid (SCD Fuente del Berro);1381
162V;Torrent (distrito 03);1382
163B;Barcelona (SCD la Sagrada Família est);1383
163M;Madrid (SCD Guindalera-1);1384
163V;Mislata;1385
164B;Barcelona (SCD la Sagrada Família oest);1386
164M;Madrid (SCD Lista);1387
164V;Alzira;1388
165B;Barcelona (SCD la Dreta de l'Eixample nord);1389
165M;Madrid (SCD Castellana);1390
165V;Paterna;1391
166B;Barcelona (SCD la Dreta de l'Eixample sud);1392
166M;Madrid (SCD Guindalera-2);1393
167B;Barcelona (SCD l'Antiga Esquerra de l'Eixample sud);1394
167M;Madrid (SCD El Viso);1395
168B;Barcelona (SCD l'Antiga Esquerra de l'Eixample nord);1396
168M;Madrid (SCD Prosperidad);1397
169B;Barcelona (SCD la Nova Esquerra de l'Eixample nord);1398
169M;Madrid (SCD Ciudad Jardín);1399
16AB;Balazote y otros municipios;1400
16AL;Antas y otros municipios;1401
16AS;Cabrales y otros municipios;1402
16AV;Arenas de San Pedro y Poyales del Hoyo;1403
16BA;Santa Marta y otros municipios;1404
16BI;Abadiño y Atxondo;1405
16BU;Quintanar de la Sierra y otros municipios;1406
16CA;Liérganes y otros municipios;1407
16CC;Torrejoncillo y otros municipios;1408
16CO;Fuente Obejuna y otros municipios;1409
16CR;Piedrabuena y Luciana;1410
16CS;Almenara y Llosa, la;1411
16CU;Campillo de Altobuey y otros municipios;1412
16CZ;Puerto de Santa María, El (distrito 04);1413
16CÑ;Fene y Cabanas;1414
16GC;San Bartolomé;1415
16GI;Sant Hilari Sacalm y otros municipios;1416
16GP;Aretxabaleta;1417
16GR;Chimeneas y otros municipios;1418
16GU;Casar, El y Uceda;1419
16HS;Sariñena y otros municipios;1420
16HU;Bonares y Lucena del Puerto;1421
16JA;Villanueva del Arzobispo e Iznatoraf;1422
16LE;Villamañán y otros municipios;1423
16LL;Alcoletge y otros municipios;1424
16LO;Alfaro;1425
16LU;Pontenova, A y otros municipios;1426
16MA;Villanueva de Algaidas y Villanueva de Tapia;1427
16MU;Cehegín;1428
16NA;Bera y otros municipios;1429
16OU;Muíños y otros municipios;1430
16PA;Villamuriel de Cerrato;1431
16PO;Cangas;1432
16SA;Fuente de San Esteban, La y otros municipios;1433
16SG;Riaza y otros municipios;1434
16TA;Riudecols y otros municipios;1435
16TE;Andorra;1436
16TF;Breña Baja;1437
16TO;Burguillos de Toledo y Ajofrín;1438
16VA;Villalón de Campos y otros municipios;1439
16VI;Vitoria-Gasteiz (distrito 05);1440
16ZA;Ateca y otros municipios;1441
16ZM;Alcañices y otros municipios;1442
170B;Barcelona (SCD la Nova Esquerra de l'Eixample sud);1443
170M;Madrid (SCD Hispanoamérica);1444
171B;Barcelona (SCD Sant Antoni);1445
171M;Madrid (SCD Nueva España);1446
172B;Barcelona (SCD el Poble Sec est);1447
172M;Madrid (SCD Castilla);1448
173B;Barcelona (SCD el Poble Sec oest);1449
173M;Madrid (SCD Bellas Vistas);1450
174B;Barcelona (SCD la Marina i la Zona Franca-Port);1451
174M;Madrid (SCD Cuatro Caminos);1452
175B;Barcelona (SCD la Font de la Guatlla);1453
175M;Madrid (SCD Castillejos);1454
176B;Barcelona (SCD Hostafrancs);1455
176M;Madrid (SCD Almenara);1456
177B;Barcelona (SCD la Bordeta);1457
177M;Madrid (SCD Valdeacederas);1458
178B;Barcelona (SCD Sants-Badal);1459
178M;Madrid (SCD Berruguete);1460
179B;Barcelona (SCD Sants oest);1461
179M;Madrid (SCD Gaztambide);1462
17AB;Munera y otros municipios;1463
17AL;Almería (distritos 01 y 02);1464
17AS;Aller;1465
